,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Honors,predictions
10749,2001,Jason Kidd*,PG,27,PHO,77,76,3065,5.3,12.9,0.41100000000000003,0.8,2.7,0.297,4.5,10.2,0.442,3.9,4.7,0.8140000000000001,1.1,4.7,5.8,8.8,1.9,0.3,3.4,2.0,15.3,First,No_Honors
10782,2001,Karl Malone*,PF,37,UTA,81,81,2895,8.3,16.7,0.498,0.0,0.1,0.4,8.3,16.7,0.499,6.7,8.4,0.7929999999999999,1.4,6.9,8.3,4.5,1.2,0.8,3.0,2.7,23.4,Third,Second
10844,2001,Dikembe Mutombo*,C,34,TOT,75,75,2591,3.7,7.7,0.484,0.0,0.0,,3.7,7.7,0.484,2.9,4.0,0.725,4.3,9.8,14.1,1.1,0.4,2.8,2.0,2.8,10.4,Second,No_Honors
10858,2001,Dirk Nowitzki,PF,22,DAL,82,82,3125,6.8,14.4,0.474,1.7,4.5,0.387,5.1,9.9,0.513,5.2,6.2,0.838,1.4,7.3,8.7,2.0,0.9,1.2,1.8,2.8,20.6,Third,No_Honors
10884,2001,Gary Payton*,PG,32,SEA,79,79,3244,8.0,17.7,0.456,1.1,3.0,0.375,6.9,14.6,0.47200000000000003,3.0,3.9,0.7659999999999999,0.8,3.2,4.0,7.1,1.4,0.3,2.3,2.0,20.2,Third,No_Honors
10920,2001,David Robinson*,C,35,SAS,80,80,2371,6.1,12.5,0.486,0.0,0.0,0.0,6.1,12.5,0.48700000000000004,5.3,7.1,0.747,3.2,7.3,10.5,1.8,1.2,3.0,1.9,3.2,17.5,Third,No_Honors
10955,2001,Jerry Stackhouse,SG,26,DET,80,80,3215,8.7,21.6,0.402,1.9,5.3,0.35100000000000003,6.8,16.3,0.418,7.5,9.1,0.8220000000000001,1.1,2.4,3.5,4.6,1.1,0.6,3.7,1.8,26.7,No_Honors,Second
11101,2000,Kobe Bryant,SG,21,LAL,66,62,2524,7.9,16.9,0.46799999999999997,0.7,2.1,0.319,7.2,14.8,0.489,4.7,5.7,0.821,1.5,4.4,5.9,4.6,1.5,0.9,2.6,3.1,21.2,Second,No_Honors
11117,2000,Vince Carter,SF,23,TOR,82,82,3126,9.1,19.5,0.465,1.1,2.7,0.40299999999999997,8.0,16.8,0.475,5.0,6.3,0.7909999999999999,1.7,3.8,5.5,3.7,1.3,1.1,2.0,3.0,24.3,Third,Second
11196,2000,Kevin Garnett,PF,23,MIN,81,81,3243,8.4,16.9,0.49700000000000005,0.3,0.9,0.37,8.1,16.0,0.504,3.4,4.5,0.765,2.5,8.1,10.6,4.5,1.3,1.4,3.0,2.3,20.6,First,Second
11249,2000,Allen Iverson*,SG,24,PHI,70,70,2853,9.2,21.9,0.42100000000000004,1.1,3.3,0.341,8.1,18.6,0.435,5.6,7.8,0.713,0.9,2.5,3.4,4.1,1.8,0.1,2.9,2.0,25.1,Second,No_Honors
11274,2000,Eddie Jones,SG,28,CHH,72,72,2807,6.1,14.4,0.42700000000000005,1.6,4.4,0.375,4.5,10.0,0.45,4.6,5.4,0.8640000000000001,1.0,3.4,4.4,3.9,2.5,0.6,2.1,2.3,18.5,Third,No_Honors
11285,2000,Jason Kidd*,PG,26,PHO,67,67,2616,4.8,11.8,0.409,0.8,2.3,0.337,4.0,9.5,0.42700000000000005,2.8,3.4,0.8290000000000001,1.3,5.3,6.6,9.3,1.8,0.4,3.1,2.0,13.2,First,No_Honors
11320,2000,Stephon Marbury,PG,22,NJN,74,74,2881,7.1,16.5,0.43200000000000005,0.8,2.9,0.28300000000000003,6.3,13.5,0.46399999999999997,5.4,6.7,0.813,0.8,2.2,3.0,7.8,1.4,0.2,3.4,2.4,20.5,Third,No_Honors
11356,2000,Alonzo Mourning*,C,29,MIA,79,78,2748,8.5,15.5,0.551,0.0,0.1,0.0,8.5,15.5,0.5529999999999999,5.4,7.6,0.711,2.8,7.0,9.9,1.6,0.5,3.9,2.8,4.0,22.5,Second,First
11423,2000,David Robinson*,C,34,SAS,80,80,2557,7.4,14.5,0.512,0.0,0.0,0.0,7.4,14.5,0.513,5.2,7.2,0.726,2.7,8.1,10.8,2.0,1.4,2.6,2.3,3.5,20.1,Third,No_Honors
11502,2000,Chris Webber,PF,26,SAC,75,75,2880,9.3,19.4,0.483,0.3,1.2,0.284,9.0,18.2,0.496,3.9,5.2,0.7509999999999999,2.4,7.5,9.8,4.3,1.5,1.6,2.7,3.3,22.9,Third,Second
