,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Honors,predictions
1651,2017,Damian Lillard,PG,26,POR,75,75,2694,8.8,19.9,0.444,2.9,7.7,0.37,6.0,12.1,0.49200000000000005,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0,No_Honors,First
1855,2017,Karl-Anthony Towns,C,21,MIN,82,82,3030,9.5,17.6,0.542,1.2,3.3,0.36700000000000005,8.3,14.3,0.5820000000000001,4.2,5.1,0.8320000000000001,3.5,8.4,12.0,2.6,0.7,1.2,2.5,2.9,24.5,No_Honors,Second
1876,2017,John Wall,PG,26,WAS,78,78,2836,8.2,18.2,0.451,1.1,3.5,0.327,7.1,14.8,0.48,5.4,6.7,0.8009999999999999,0.7,3.4,4.1,10.5,2.0,0.6,4.1,1.9,22.9,Third,First
1927,2016,LaMarcus Aldridge,PF,30,SAS,74,74,2261,8.5,16.6,0.513,0.0,0.3,0.0,8.5,16.4,0.521,4.1,4.8,0.858,2.8,7.3,10.1,1.8,0.6,1.3,1.6,2.4,21.2,Third,No_Honors
2053,2016,Andre Drummond,C,22,DET,81,81,2666,7.5,14.3,0.521,0.0,0.1,0.33299999999999996,7.4,14.2,0.522,2.8,7.9,0.355,5.3,10.8,16.2,0.9,1.6,1.5,2.1,3.3,17.7,Third,No_Honors
2058,2016,Kevin Durant,SF,27,OKC,72,72,2578,9.7,19.3,0.505,2.6,6.7,0.387,7.1,12.6,0.569,6.2,7.0,0.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.3,Second,First
2096,2016,Paul George,SF,25,IND,81,81,2819,7.7,18.5,0.418,2.7,7.2,0.371,5.0,11.3,0.447,5.8,6.7,0.86,1.0,6.2,7.2,4.2,1.9,0.4,3.4,2.9,23.9,Third,No_Honors
2109,2016,Draymond Green,PF,25,GSW,81,81,2808,5.1,10.5,0.49,1.3,3.3,0.38799999999999996,3.9,7.2,0.537,2.9,4.2,0.696,1.7,8.1,9.9,7.7,1.5,1.4,3.3,3.1,14.5,Second,No_Honors
2126,2016,James Harden,SG,26,HOU,82,82,3125,8.2,18.6,0.439,2.7,7.6,0.359,5.5,11.1,0.494,8.3,9.6,0.86,0.7,5.0,5.8,7.1,1.6,0.6,4.3,2.6,27.4,No_Honors,First
2213,2016,DeAndre Jordan,C,27,LAC,77,77,2598,4.9,7.0,0.703,0.0,0.0,0.0,4.9,7.0,0.7040000000000001,3.7,8.6,0.43,3.7,11.0,14.7,1.2,0.7,2.5,1.5,2.9,13.6,First,No_Honors
2243,2016,Kawhi Leonard,SF,24,SAS,72,72,2380,8.3,16.5,0.506,2.0,4.4,0.44299999999999995,6.4,12.1,0.528,4.4,5.1,0.8740000000000001,1.4,6.0,7.5,2.8,1.9,1.1,1.6,2.0,23.0,First,No_Honors
2246,2016,Damian Lillard,PG,25,POR,75,75,2676,8.3,19.8,0.419,3.1,8.2,0.375,5.2,11.6,0.45,5.6,6.2,0.892,0.6,3.5,4.1,6.9,0.9,0.4,3.3,2.2,25.3,Second,No_Honors
2253,2016,Kyle Lowry,PG,29,TOR,77,77,2851,6.5,15.1,0.42700000000000005,2.7,6.9,0.38799999999999996,3.8,8.2,0.461,5.0,6.2,0.8109999999999999,0.7,3.9,4.6,6.2,2.0,0.4,2.8,2.7,20.6,Third,No_Honors
2342,2016,Chris Paul,PG,30,LAC,74,74,2420,7.7,16.6,0.462,1.8,4.9,0.371,5.8,11.7,0.501,4.4,4.9,0.8959999999999999,0.6,4.0,4.6,11.0,2.3,0.2,2.9,2.8,21.5,Second,No_Honors
2437,2016,Klay Thompson,SG,25,GSW,80,80,2666,8.8,18.7,0.47,3.7,8.8,0.425,5.1,9.9,0.51,2.6,3.0,0.873,0.5,3.7,4.1,2.2,0.8,0.7,1.9,2.1,23.9,Third,No_Honors
2509,2015,LaMarcus Aldridge,PF,29,POR,71,71,2512,9.4,20.3,0.466,0.5,1.5,0.35200000000000004,8.9,18.8,0.475,4.4,5.2,0.845,2.5,7.9,10.4,1.8,0.7,1.0,1.7,1.8,23.8,Second,No_Honors
2553,2015,Sim Bhullar,C,22,SAC,3,0,3,12.0,24.0,0.5,0.0,0.0,,12.0,24.0,0.5,0.0,0.0,,0.0,12.0,12.0,12.0,0.0,12.0,0.0,0.0,24.0,No_Honors,First
2634,2015,Stephen Curry,PG,26,GSW,80,80,2613,9.0,18.5,0.48700000000000004,3.9,8.9,0.44299999999999995,5.1,9.6,0.528,4.2,4.6,0.914,0.8,3.9,4.7,8.5,2.2,0.2,3.4,2.2,26.2,First,No_Honors
2672,2015,Tim Duncan,C,38,SAS,77,77,2227,6.8,13.2,0.512,0.0,0.1,0.28600000000000003,6.7,13.1,0.514,3.7,5.0,0.74,2.7,8.6,11.4,3.7,1.0,2.4,2.1,2.7,17.3,Third,No_Honors
2707,2015,Marc Gasol,C,30,MEM,81,81,2687,7.1,14.4,0.494,0.0,0.2,0.17600000000000002,7.1,14.1,0.5,4.7,5.9,0.795,1.5,6.9,8.4,4.1,0.9,1.8,2.4,2.8,18.9,First,No_Honors
2737,2015,Blake Griffin,PF,25,LAC,67,67,2356,8.8,17.5,0.502,0.2,0.4,0.4,8.6,17.1,0.504,4.8,6.5,0.728,1.9,5.8,7.8,5.4,1.0,0.5,2.3,3.0,22.4,Third,No_Honors
2782,2015,Kyrie Irving,PG,22,CLE,75,75,2730,7.6,16.3,0.46799999999999997,2.1,5.0,0.415,5.6,11.3,0.491,4.2,4.8,0.863,0.7,2.4,3.1,5.1,1.5,0.3,2.5,1.9,21.5,Third,No_Honors
2814,2015,DeAndre Jordan,C,26,LAC,82,82,2820,4.8,6.8,0.71,0.0,0.1,0.25,4.8,6.8,0.713,2.4,6.0,0.397,5.1,10.6,15.7,0.8,1.0,2.3,1.4,3.1,12.1,Third,No_Honors
3080,2015,Klay Thompson,SG,24,GSW,77,77,2455,8.8,19.0,0.46299999999999997,3.5,8.0,0.439,5.3,11.1,0.48100000000000004,3.3,3.8,0.879,0.4,3.2,3.6,3.3,1.3,0.9,2.2,1.8,24.5,Third,No_Honors
3160,2014,LaMarcus Aldridge,PF,28,POR,69,69,2498,9.4,20.5,0.45799999999999996,0.0,0.2,0.2,9.4,20.3,0.461,4.3,5.2,0.8220000000000001,2.4,8.6,11.0,2.6,0.9,1.0,1.8,2.1,23.1,Third,No_Honors
3299,2014,Stephen Curry,PG,25,GSW,78,78,2846,8.2,17.5,0.47100000000000003,3.3,7.8,0.424,4.9,9.7,0.509,3.9,4.4,0.885,0.6,3.6,4.2,8.4,1.6,0.2,3.7,2.5,23.7,Second,No_Honors
3330,2014,Goran Dragić,SG,27,PHO,76,75,2668,7.4,14.7,0.505,1.6,4.0,0.408,5.8,10.7,0.542,4.3,5.6,0.76,0.9,2.4,3.3,6.0,1.4,0.3,2.9,2.8,20.8,Third,No_Honors
3370,2014,Paul George,SF,23,IND,80,80,2898,7.2,16.9,0.424,2.3,6.2,0.364,4.9,10.7,0.45799999999999996,5.0,5.8,0.8640000000000001,0.8,5.9,6.7,3.5,1.9,0.3,2.8,2.5,21.6,Third,No_Honors
